daqtime,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap,video
0.01,0.846,38.172,11.749,27.61,29.495,7.288,8.684,6.549,10
1.01,0.836,38.25,11.737,27.6,29.488,7.288,8.726,6.467,10
2.01,0.843,38.056,11.757,27.6,29.488,7.329,8.726,6.59,10
3.01,0.836,38.076,11.729,27.571,29.481,7.206,8.644,6.467,10
4.01,0.853,38.211,11.745,27.591,29.484,7.247,8.767,6.508,10
5.01,0.862,38.327,11.753,27.63,29.509,7.411,8.931,6.713,10
6.01,0.839,38.037,11.741,27.591,29.491,7.165,8.808,6.549,10
7.01,0.853,38.163,11.745,27.61,29.484,7.329,8.849,6.631,10
8.01,0.839,38.269,11.722,27.581,29.484,7.206,8.684,6.467,10
9.01,0.849,38.347,11.745,27.61,29.495,7.288,8.808,6.672,10
10.01,0.83,37.766,11.725,27.581,29.484,7.206,8.684,6.508,10
11.01,0.83,37.921,11.729,27.591,29.484,7.206,8.684,6.385,10
12.01,0.846,38.076,11.745,27.61,29.498,7.329,8.767,6.59,10
13.01,0.826,38.056,11.737,27.591,29.491,7.165,8.684,6.508,10
14.01,0.839,38.056,11.745,27.591,29.488,7.288,8.684,6.508,10
15.01,0.833,38.172,11.737,27.591,29.481,7.124,8.644,6.385,10
16.01,0.83,38.308,11.737,27.591,29.491,7.329,8.726,6.549,10
17.01,0.823,38.337,11.745,27.591,29.491,7.206,8.684,6.508,10
18.01,0.81,37.921,11.729,27.562,29.477,7.124,8.561,6.302,10
19.01,0.833,38.105,11.737,27.591,29.491,7.247,8.684,6.508,10
20.01,0.833,38.182,11.722,27.591,29.481,7.247,8.602,6.508,10
21.01,0.836,38.221,11.729,27.591,29.484,7.288,8.602,6.508,10
22.01,0.823,38.027,11.71,27.591,29.488,7.165,8.561,6.467,10
23.01,0.833,38.182,11.737,27.591,29.488,7.288,8.644,6.59,10
24.01,0.83,38.26,11.725,27.6,29.491,7.329,8.602,6.549,10
25.01,0.816,38.085,11.722,27.533,29.477,7.165,8.438,6.343,10
26.01,0.843,38.066,11.737,27.6,29.484,7.288,8.561,6.467,10
27.01,0.826,38.172,11.737,27.591,29.491,7.165,8.52,6.467,10
28.01,0.836,38.26,11.745,27.6,29.491,7.329,8.561,6.508,10
29.01,0.836,38.027,11.729,27.571,29.484,7.247,8.356,6.467,10
30.01,0.853,38.172,11.725,27.6,29.495,7.329,8.479,6.508,10
31.01,0.849,38.298,11.741,27.62,29.502,7.411,8.52,6.59,10
32.01,0.823,38.337,11.729,27.562,29.477,7.165,8.274,6.343,10
33.01,0.843,38.008,11.722,27.591,29.495,7.37,8.356,6.467,10
34.01,0.833,38.153,11.729,27.581,29.491,7.329,8.356,6.467,10
35.01,0.833,38.269,11.745,27.6,29.491,7.37,8.356,6.549,10
36.01,0.826,38.318,11.722,27.562,29.477,7.288,8.233,6.385,10
37.01,0.826,37.921,11.725,27.581,29.484,7.452,8.274,6.467,10
38.01,0.836,38.076,11.737,27.63,29.498,7.575,8.438,6.672,10
39.01,0.823,38.143,11.718,27.571,29.484,7.288,8.233,6.508,10
40.01,0.823,38.211,11.718,27.571,29.484,7.411,8.233,6.467,10
41.01,0.826,38.153,11.725,27.581,29.484,7.411,8.192,6.385,10
42.01,0.816,38.289,11.729,27.61,29.484,7.494,8.15,6.508,10
43.01,0.826,38.356,11.722,27.591,29.477,7.329,8.15,6.343,10
44.01,0.83,38.405,11.745,27.591,29.484,7.37,8.109,6.385,10
45.01,0.833,38.037,11.769,27.62,29.502,7.575,8.274,6.631,10
46.01,0.813,38.163,11.725,27.581,29.488,7.37,8.109,6.508,10
47.01,0.816,38.24,11.729,27.6,29.484,7.452,8.069,6.467,10
48.01,0.813,38.385,11.718,27.591,29.484,7.37,8.069,6.467,10
49.01,0.816,38.143,11.725,27.581,29.491,7.494,8.109,6.508,10
50.01,0.813,38.24,11.729,27.571,29.477,7.37,7.986,6.426,10
51.01,0.816,38.347,11.733,27.581,29.484,7.411,7.945,6.385,10
52.01,0.833,38.056,11.741,27.63,29.495,7.534,8.069,6.549,10
53.01,0.813,38.095,11.729,27.581,29.484,7.494,8.027,6.508,10
54.01,0.816,38.211,11.722,27.6,29.484,7.452,7.986,6.467,10
55.01,0.807,38.26,11.714,27.581,29.488,7.288,7.945,6.426,10
56.01,0.816,38.046,11.737,27.6,29.484,7.452,8.027,6.467,10
57.01,0.807,38.172,11.725,27.581,29.481,7.452,7.986,6.467,10
58.01,0.81,38.298,11.718,27.552,29.474,7.329,7.863,6.302,10
59.01,0.826,38.405,11.737,27.581,29.488,7.494,7.945,6.508,10
60.01,0.81,37.969,11.741,27.571,29.484,7.411,7.904,6.467,10
61.01,0.81,38.134,11.729,27.581,29.484,7.452,7.986,6.508,10
62.01,0.803,38.24,11.722,27.571,29.477,7.37,7.822,6.385,10
63.01,0.807,38.318,11.737,27.6,29.488,7.494,7.986,6.508,10
64.01,0.81,38.085,11.722,27.591,29.484,7.534,7.986,6.549,10
65.01,0.807,38.182,11.698,27.542,29.47,7.411,7.699,6.302,10
66.01,0.823,38.327,11.725,27.571,29.488,7.534,7.904,6.467,10
67.01,0.813,38.356,11.722,27.591,29.481,7.494,7.781,6.426,10
68.01,0.813,38.056,11.722,27.591,29.488,7.575,7.863,6.467,10
69.01,0.8,38.143,11.718,27.571,29.477,7.534,7.699,6.302,10
70.01,0.813,38.289,11.729,27.6,29.488,7.617,7.863,6.467,10
71.01,0.813,38.318,11.714,27.61,29.495,7.699,7.945,6.549,10
72.01,0.793,37.979,11.714,27.542,29.477,7.411,7.699,6.385,10
73.01,0.803,38.105,11.729,27.581,29.481,7.534,7.822,6.467,10
74.01,0.793,38.221,11.725,27.571,29.474,7.575,7.699,6.343,10
75.01,0.803,37.969,11.722,27.591,29.484,7.575,7.822,6.385,10
76.01,0.803,37.94,11.706,27.571,29.481,7.494,7.74,6.302,10
77.01,0.803,38.085,11.722,27.581,29.484,7.658,7.699,6.426,10
78.01,0.813,38.211,11.733,27.62,29.495,7.781,7.863,6.549,10
79.01,0.807,38.037,11.729,27.581,29.481,7.617,7.74,6.385,10
80.01,0.803,38.182,11.725,27.581,29.484,7.658,7.658,6.467,10
81.01,0.807,38.298,11.714,27.562,29.484,7.658,7.658,6.302,10
82.01,0.803,38.395,11.725,27.591,29.484,7.74,7.781,6.467,10
83.01,0.807,37.833,11.71,27.571,29.477,7.617,7.575,6.302,10
84.01,0.8,37.988,11.706,27.581,29.477,7.617,7.534,6.385,10
85.01,0.82,38.134,11.737,27.62,29.495,7.74,7.699,6.426,10
86.01,0.803,38.163,11.718,27.581,29.481,7.617,7.575,6.426,10
87.01,0.797,37.95,11.733,27.591,29.484,7.699,7.534,6.426,10
88.01,0.79,38.076,11.737,27.571,29.481,7.617,7.575,6.343,10
89.01,0.79,38.211,11.725,27.6,29.481,7.74,7.617,6.549,10
90.01,0.8,38.231,11.698,27.581,29.484,7.699,7.617,6.467,10
91.01,0.8,37.862,11.722,27.571,29.47,7.617,7.452,6.385,10
92.01,0.797,38.037,11.718,27.591,29.481,7.699,7.534,6.467,10
93.01,0.777,38.124,11.722,27.581,29.477,7.699,7.452,6.426,10
94.01,0.784,38.143,11.714,27.591,29.484,7.699,7.534,6.467,10
95.01,0.797,37.882,11.706,27.571,29.481,7.575,7.494,6.343,10
96.01,0.803,38.017,11.729,27.591,29.491,7.699,7.494,6.508,10
97.01,0.787,38.114,11.714,27.581,29.481,7.617,7.452,6.385,10
98.01,0.784,37.998,11.706,27.542,29.463,7.534,7.329,6.22,10
99.01,0.793,37.93,11.741,27.581,29.481,7.658,7.452,6.385,10
100.01,0.79,38.046,11.737,27.591,29.477,7.534,7.494,6.343,10
101.01,0.784,38.153,11.729,27.591,29.484,7.575,7.494,6.385,10
102.01,0.78,37.853,11.71,27.562,29.474,7.452,7.37,6.343,10
103.01,0.787,37.998,11.725,27.591,29.484,7.617,7.494,6.426,10
104.01,0.8,38.134,11.737,27.63,29.495,7.699,7.575,6.549,10
105.01,0.787,38.153,11.714,27.571,29.481,7.494,7.411,6.343,10
106.01,0.79,37.649,11.722,27.591,29.488,7.534,7.452,6.467,10
107.01,0.78,37.795,11.725,27.571,29.477,7.494,7.329,6.385,10
108.01,0.784,37.911,11.733,27.61,29.488,7.534,7.494,6.467,10
109.01,0.793,37.969,11.737,27.591,29.477,7.411,7.288,6.262,10
110.01,0.79,37.775,11.733,27.581,29.481,7.534,7.494,6.385,10
111.01,0.803,37.959,11.733,27.62,29.495,7.617,7.534,6.549,10
112.01,0.79,38.027,11.725,27.571,29.477,7.452,7.411,6.426,10
113.01,0.787,38.076,11.718,27.571,29.484,7.452,7.411,6.385,10
114.01,0.78,37.659,11.714,27.571,29.481,7.411,7.411,6.385,10
115.01,0.777,37.814,11.71,27.591,29.484,7.494,7.452,6.426,10
116.01,0.774,37.892,11.698,27.552,29.477,7.329,7.411,6.302,10
117.01,0.78,37.921,11.71,27.562,29.481,7.37,7.37,6.343,10
118.01,0.8,37.814,11.718,27.6,29.491,7.534,7.494,6.467,10
119.01,0.777,37.911,11.722,27.571,29.484,7.452,7.411,6.426,10
120.01,0.787,38.027,11.714,27.581,29.488,7.494,7.411,6.343,10
121.01,0.774,38.289,11.71,27.591,29.477,7.411,7.329,6.343,10
122.01,0.784,37.824,11.71,27.591,29.484,7.494,7.534,6.467,10
123.01,0.774,37.921,11.706,27.591,29.477,7.452,7.411,6.385,10
