daqtime,bvp,gsr
0.01,38.172,11.749
1.01,38.25,11.737
2.01,38.056,11.757
3.01,38.076,11.729
4.01,38.211,11.745
5.01,38.327,11.753
6.01,38.037,11.741
7.01,38.163,11.745
8.01,38.269,11.722
9.01,38.347,11.745
10.01,37.766,11.725
11.01,37.921,11.729
12.01,38.076,11.745
13.01,38.056,11.737
14.01,38.056,11.745
15.01,38.172,11.737
16.01,38.308,11.737
17.01,38.337,11.745
18.01,37.921,11.729
19.01,38.105,11.737
20.01,38.182,11.722
21.01,38.221,11.729
22.01,38.027,11.71
23.01,38.182,11.737
24.01,38.26,11.725
25.01,38.085,11.722
26.01,38.066,11.737
27.01,38.172,11.737
28.01,38.26,11.745
29.01,38.027,11.729
30.01,38.172,11.725
31.01,38.298,11.741
32.01,38.337,11.729
33.01,38.008,11.722
34.01,38.153,11.729
35.01,38.269,11.745
36.01,38.318,11.722
37.01,37.921,11.725
38.01,38.076,11.737
39.01,38.143,11.718
40.01,38.211,11.718
41.01,38.153,11.725
42.01,38.289,11.729
43.01,38.356,11.722
44.01,38.405,11.745
45.01,38.037,11.769
46.01,38.163,11.725
47.01,38.24,11.729
48.01,38.385,11.718
49.01,38.143,11.725
50.01,38.24,11.729
51.01,38.347,11.733
52.01,38.056,11.741
53.01,38.095,11.729
54.01,38.211,11.722
55.01,38.26,11.714
56.01,38.046,11.737
57.01,38.172,11.725
58.01,38.298,11.718
59.01,38.405,11.737
60.01,37.969,11.741
61.01,38.134,11.729
62.01,38.24,11.722
63.01,38.318,11.737
64.01,38.085,11.722
65.01,38.182,11.698
66.01,38.327,11.725
67.01,38.356,11.722
68.01,38.056,11.722
69.01,38.143,11.718
70.01,38.289,11.729
71.01,38.318,11.714
72.01,37.979,11.714
73.01,38.105,11.729
74.01,38.221,11.725
75.01,37.969,11.722
76.01,37.94,11.706
77.01,38.085,11.722
78.01,38.211,11.733
79.01,38.037,11.729
80.01,38.182,11.725
81.01,38.298,11.714
82.01,38.395,11.725
83.01,37.833,11.71
84.01,37.988,11.706
85.01,38.134,11.737
86.01,38.163,11.718
87.01,37.95,11.733
88.01,38.076,11.737
89.01,38.211,11.725
90.01,38.231,11.698
91.01,37.862,11.722
92.01,38.037,11.718
93.01,38.124,11.722
94.01,38.143,11.714
95.01,37.882,11.706
96.01,38.017,11.729
97.01,38.114,11.714
98.01,37.998,11.706
99.01,37.93,11.741
100.01,38.046,11.737
101.01,38.153,11.729
